Approved Symbol	Approved Name	Entrez Gene ID	Mouse Genome Database ID	RefSeq IDs
TMBIM1	transmembrane BAX inhibitor motif containing 1	64114	MGI:1916910	NM_022152
TMBIM4	transmembrane BAX inhibitor motif containing 4	51643	MGI:1915462	NM_016056
TMBIM6	transmembrane BAX inhibitor motif containing 6	7009	MGI:99682	NM_003217
TMBIM7P	transmembrane BAX inhibitor motif containing 7, pseudogene		MGI:1922305	
TMC1	transmembrane channel like 1	117531	MGI:2151016	
TMC2	transmembrane channel like 2	117532	MGI:2151017	
TMC3	transmembrane channel like 3	342125	MGI:2669033	NM_181841
TMC3-AS1	TMC3 antisense RNA 1	101929655		NR_120365
TMC4	transmembrane channel like 4	147798	MGI:2669035	
TMC5	transmembrane channel like 5	79838	MGI:1921674	NM_024780
TMC6	transmembrane channel like 6	11322	MGI:1098686	
TMC7	transmembrane channel like 7	79905	MGI:2443317	NM_024847
TMC8	transmembrane channel like 8	147138	MGI:2669037	
TMCC1	transmembrane and coiled-coil domain family 1	23023	MGI:2442368	NM_015008
TMCC1-AS1	TMCC1 antisense RNA 1 (head to head)	100507032		
TMCC1P1	transmembrane and coiled-coil domain family 1 pseudogene 1	100128132		NG_016605
TMCC2	transmembrane and coiled-coil domain family 2	9911	MGI:1916125	NM_014858
TMCC3	transmembrane and coiled-coil domain family 3	57458	MGI:2442900	NM_020698
TMCO1	transmembrane and coiled-coil domains 1	54499	MGI:1921173	NM_019026
TMCO2	transmembrane and coiled-coil domains 2	127391	MGI:1916719	NM_001008740
TMCO3	transmembrane and coiled-coil domains 3	55002	MGI:2444946	NM_017905
TMCO4	transmembrane and coiled-coil domains 4	255104	MGI:1924306	NM_181719
TMCO5A	transmembrane and coiled-coil domains 5A	145942	MGI:1914606	NM_152453
TMCO5B	transmembrane and coiled-coil domains 5B (pseudogene)	100652857		
TMCO6	transmembrane and coiled-coil domains 6	55374	MGI:1919233	NM_018502
TMED1	transmembrane p24 trafficking protein 1	11018	MGI:106201	NM_006858
TMED2	transmembrane p24 trafficking protein 2	10959	MGI:1929269	NM_006815
TMED3	transmembrane p24 trafficking protein 3	23423	MGI:1913361	NM_007364
TMED4	transmembrane p24 trafficking protein 4	222068	MGI:1915070	NM_182547
TMED5	transmembrane p24 trafficking protein 5	50999	MGI:1921586	NM_016040
TMED6	transmembrane p24 trafficking protein 6	146456	MGI:1913519	NM_144676
TMED7	transmembrane p24 trafficking protein 7	51014	MGI:1913926	NM_181836
TMED7-TICAM2	TMED7-TICAM2 readthrough	100302736		NM_001164468
TMED8	transmembrane p24 trafficking protein family member 8	283578	MGI:1923480	NM_213601
TMED9	transmembrane p24 trafficking protein 9	54732	MGI:1914761	NM_017510
TMED10	transmembrane p24 trafficking protein 10	10972	MGI:1915831	NM_006827
TMED10P1	transmembrane p24 trafficking protein 10 pseudogene 1	286102		XR_002807
TMED10P2	transmembrane p24 trafficking protein 10 pseudogene 2	100129727		
TMED11P	transmembrane p24 trafficking protein 11, pseudogene		MGI:1914616	
TMEFF1	transmembrane protein with EGF like and two follistatin like domains 1	8577	MGI:1926810	NM_003692
TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	23671	MGI:1861735	NM_016192
TMEM2	transmembrane protein 2	23670	MGI:1890373	NM_013390
TMEM5	transmembrane protein 5	10329	MGI:2384919	NM_014254
TMEM5-AS1	TMEM5 antisense RNA 1			
TMEM6~withdrawn	symbol withdrawn, see TMEM8A			
TMEM8A	transmembrane protein 8A	58986	MGI:1926283	NM_021259
TMEM8B	transmembrane protein 8B	51754	MGI:2441680	NM_016446
TMEM9	transmembrane protein 9	252839	MGI:1913491	NM_016456
TMEM9B	TMEM9 domain family member B	56674	MGI:1915254	
TMEM9B-AS1	TMEM9B antisense RNA 1	493900		
TMEM11	transmembrane protein 11	8834	MGI:2144726	NM_003876
TMEM13~withdrawn	symbol withdrawn, see OPN5			
TMEM14A	transmembrane protein 14A	28978	MGI:1922962	NM_014051
TMEM14B	transmembrane protein 14B	81853		NM_030969
TMEM14C	transmembrane protein 14C	51522	MGI:1913404	NM_016462
TMEM14DP	transmembrane protein 14D, pseudogene	645203		
TMEM14EP	transmembrane protein 14E, pseudogene	645843		NM_001123228
TMEM17	transmembrane protein 17	200728	MGI:2144205	NM_198276
TMEM18	transmembrane protein 18	129787	MGI:2387176	NM_152834
TMEM19	transmembrane protein 19	55266	MGI:1914476	NM_018279
TMEM25	transmembrane protein 25	84866	MGI:1918937	NM_032780
TMEM26	transmembrane protein 26	219623	MGI:2143537	NM_178505
TMEM26-AS1	TMEM26 antisense RNA 1	101928781		NR_120643
TMEM27	transmembrane protein 27	57393	MGI:1926234	NM_020665
TMEM30A	transmembrane protein 30A	55754	MGI:106402	NM_018247
TMEM30B	transmembrane protein 30B	161291	MGI:2442082	XM_090844
TMEM30CP	transmembrane protein 30C, pseudogene	644444	MGI:1918277	NR_028357
TMEM31	transmembrane protein 31	203562		NM_182541
TMEM33	transmembrane protein 33	55161	MGI:1915128	NM_018126
TMEM35A	transmembrane protein 35A	59353	MGI:1914814	NM_021637
TMEM35B	transmembrane protein 35B	100506144	MGI:3758095	
TMEM37	transmembrane protein 37	140738	MGI:2157899	NM_183240
TMEM38A	transmembrane protein 38A	79041	MGI:1921416	NM_024074
TMEM38B	transmembrane protein 38B	55151	MGI:1098718	NM_018112
TMEM39A	transmembrane protein 39A	55254	MGI:1915096	NM_018266
TMEM39B	transmembrane protein 39B	55116	MGI:2682939	NM_018056
TMEM40	transmembrane protein 40	55287	MGI:2137870	NM_018306
TMEM41A	transmembrane protein 41A	90407	MGI:1913914	NM_080652
TMEM41B	transmembrane protein 41B	440026	MGI:1289225	
TMEM42	transmembrane protein 42	131616	MGI:1277176	NM_144638
TMEM43	transmembrane protein 43	79188	MGI:1921372	NM_024334
TMEM44	transmembrane protein 44	93109	MGI:1924489	NM_138399
TMEM44-AS1	TMEM44 antisense RNA 1	100507297		NR_047573
TMEM45A	transmembrane protein 45A	55076	MGI:1913122	NM_018004
TMEM45B	transmembrane protein 45B	120224	MGI:2384574	NM_138788
TMEM47	transmembrane protein 47	83604	MGI:2177570	NM_031442
TMEM50A	transmembrane protein 50A	23585	MGI:1919067	
TMEM50B	transmembrane protein 50B	757	MGI:1925225	
TMEM51	transmembrane protein 51	55092	MGI:2384874	NM_018022
TMEM51-AS1	TMEM51 antisense RNA 1	200197		NR_027136
TMEM52	transmembrane protein 52	339456	MGI:1916921	NM_178545
TMEM52B	transmembrane protein 52B	120939	MGI:2442838	NM_153022
TMEM53	transmembrane protein 53	79639	MGI:1916027	NM_024587
TMEM54	transmembrane protein 54	113452	MGI:1913510	NM_033504
TMEM56	transmembrane protein 56	148534	MGI:1923195	NM_152487
TMEM56-RWDD3	TMEM56-RWDD3 readthrough	100527978		
TMEM57	transmembrane protein 57	55219	MGI:1913396	NM_018202
TMEM59	transmembrane protein 59	9528	MGI:1929278	NM_004872
TMEM59L	transmembrane protein 59 like	25789	MGI:1915187	
TMEM60	transmembrane protein 60	85025	MGI:2673965	NM_032936
TMEM61	transmembrane protein 61	199964	MGI:3041156	NM_182532
TMEM62	transmembrane protein 62	80021	MGI:2139461	NM_024956
TMEM63A	transmembrane protein 63A	9725	MGI:2384789	NM_014698
TMEM63B	transmembrane protein 63B	55362	MGI:2387609	XM_166410
TMEM63C	transmembrane protein 63C	57156	MGI:2444386	
TMEM64	transmembrane protein 64	169200	MGI:2140359	NM_001008495
TMEM65	transmembrane protein 65	157378	MGI:1922118	NM_194291
TMEM67	transmembrane protein 67	91147	MGI:1923928	NM_153704
TMEM68	transmembrane protein 68	137695	MGI:1919348	NM_152417
TMEM69	transmembrane protein 69	51249	MGI:3045357	NM_016486
TMEM70	transmembrane protein 70	54968	MGI:1915068	NM_017866
TMEM71	transmembrane protein 71	137835	MGI:2146049	NM_144649
TMEM72	transmembrane protein 72	643236	MGI:2442707	NM_001123376
TMEM72-AS1	TMEM72 antisense RNA 1	220980		NR_033842
TMEM74	transmembrane protein 74	157753	MGI:2443417	NM_153015
TMEM74B	transmembrane protein 74B	55321	MGI:1918629	NM_018354
TMEM75	transmembrane protein 75	641384		
TMEM78	transmembrane protein 78	677790		
TMEM79	transmembrane protein 79	84283	MGI:1919163	NM_032323
TMEM80	transmembrane protein 80	283232	MGI:1918698	NM_174940
TMEM81	transmembrane protein 81	388730	MGI:1921876	NM_203376
TMEM82	transmembrane protein 82	388595	MGI:2384869	NM_001013641
TMEM86A	transmembrane protein 86A	144110	MGI:1915143	NM_153347
TMEM86B	transmembrane protein 86B	255043	MGI:1915505	NM_173804
TMEM87A	transmembrane protein 87A	25963	MGI:2441844	NM_015497
TMEM87B	transmembrane protein 87B	84910	MGI:1919727	NM_032824
TMEM88	transmembrane protein 88	92162	MGI:1914270	NM_203411
TMEM88B	transmembrane protein 88B	643965	MGI:2444329	NM_001146685
TMEM89	transmembrane protein 89	440955	MGI:1916634	NM_001008269
TMEM91	transmembrane protein 91	641649	MGI:2443589	
TMEM92	transmembrane protein 92	162461	MGI:3034723	NM_153229
TMEM92-AS1	TMEM92 antisense RNA 1			
TMEM94	transmembrane protein 94	9772	MGI:1919197	NM_014738
TMEM95	transmembrane protein 95	339168	MGI:3779488	NM_198154
TMEM97	transmembrane protein 97	27346	MGI:1916321	NM_014573
TMEM97P1	transmembrane protein 97 pseudogene 1			
TMEM97P2	transmembrane protein 97 pseudogene 2	724059		
TMEM98	transmembrane protein 98	26022	MGI:1923457	NM_015544
TMEM99	transmembrane protein 99	147184		NM_145274
TMEM100	transmembrane protein 100	55273	MGI:1915138	NM_018286
TMEM101	transmembrane protein 101	84336	MGI:1923797	NM_032376
TMEM102	transmembrane protein 102	284114	MGI:1921591	NM_178518
TMEM104	transmembrane protein 104	54868	MGI:2444222	NM_017728
TMEM105	transmembrane protein 105	284186		NM_178520
TMEM106A	transmembrane protein 106A	113277	MGI:1922056	NM_145041
TMEM106B	transmembrane protein 106B	54664	MGI:1919150	NM_018374
TMEM106C	transmembrane protein 106C	79022	MGI:1196384	NM_024056
TMEM107	transmembrane protein 107	84314	MGI:1914160	NM_032354
TMEM108	transmembrane protein 108	66000	MGI:1932411	NM_023943
TMEM108-AS1	TMEM108 antisense RNA 1	101927455		
TMEM109	transmembrane protein 109	79073	MGI:1915789	NM_024092
TMEM110	transmembrane protein 110	375346	MGI:1921500	NM_198563
TMEM110-MUSTN1	TMEM110-MUSTN1 readthrough	100526772		NM_001198974
TMEM114	transmembrane protein 114	283953	MGI:1921970	NM_001146336
TMEM115	transmembrane protein 115	11070	MGI:1930765	NM_007024
TMEM116	transmembrane protein 116	89894	MGI:1924712	NM_138341
TMEM117	transmembrane protein 117	84216	MGI:2444580	NM_032256
TMEM119	transmembrane protein 119	338773	MGI:2385228	NM_181724
TMEM120A	transmembrane protein 120A	83862	MGI:2686991	NM_031925
TMEM120B	transmembrane protein 120B	144404	MGI:3603158	NM_001080825
TMEM121	transmembrane protein 121	80757	MGI:1916445	NM_025268
TMEM121B	transmembrane protein 121B	27439	MGI:2136977	NM_031890
TMEM123	transmembrane protein 123	114908	MGI:1919179	NM_052932
TMEM125	transmembrane protein 125	128218	MGI:1923409	NM_144626
TMEM126A	transmembrane protein 126A	84233	MGI:1913521	NM_032273
TMEM126B	transmembrane protein 126B	55863	MGI:1915722	NM_018480
TMEM127	transmembrane protein 127	55654	MGI:1916720	NM_017849
TMEM128	transmembrane protein 128	85013	MGI:1913559	NM_032927
TMEM129	transmembrane protein 129	92305	MGI:1915616	NM_138385
TMEM130	transmembrane protein 130	222865	MGI:3607706	NM_152913
TMEM131	transmembrane protein 131	23505	MGI:1927110	XM_371542
TMEM131L	transmembrane 131 like	23240	MGI:2443399	NM_015196
TMEM132A	transmembrane protein 132A	54972	MGI:2147810	NM_017870
TMEM132B	transmembrane protein 132B	114795	MGI:3609245	NM_052907
TMEM132C	transmembrane protein 132C	92293	MGI:2443061	XM_044062
TMEM132D	transmembrane protein 132D	121256	MGI:3044963	NM_133448
TMEM132D-AS1	TMEM132D antisense RNA 1	283352		NR_104172
TMEM132D-AS2	TMEM132D antisense RNA 2	101927735		NR_110058
TMEM132E	transmembrane protein 132E	124842	MGI:2685490	NM_207313
TMEM133	transmembrane protein 133	83935		NM_032021
TMEM134	transmembrane protein 134	80194	MGI:1914240	NM_025124
TMEM135	transmembrane protein 135	65084	MGI:1920009	NM_022918
TMEM136	transmembrane protein 136	219902	MGI:2685030	NM_174926
TMEM137~withdrawn	entry withdrawn			
TMEM138	transmembrane protein 138	51524	MGI:1920232	NM_016464
TMEM139	transmembrane protein 139	135932	MGI:1924444	NM_153345
TMEM140	transmembrane protein 140	55281	MGI:1915737	NM_018295
TMEM141	transmembrane protein 141	85014	MGI:1098773	NM_032928
TMEM143	transmembrane protein 143	55260	MGI:1917459	NM_018273
TMEM144	transmembrane protein 144	55314	MGI:1917902	NM_018342
TMEM145	transmembrane protein 145	284339	MGI:3607779	NM_173633
TMEM147	transmembrane protein 147	10430	MGI:1915011	NM_032635
TMEM147-AS1	TMEM147 antisense RNA 1	100506469		NR_038396
TMEM150A	transmembrane protein 150A	129303	MGI:2385244	NM_153342
TMEM150B	transmembrane protein 150B	284417	MGI:2679718	NM_001085488
TMEM150C	transmembrane protein 150C	441027	MGI:3041258	NM_001080506
TMEM151A	transmembrane protein 151A	256472	MGI:2147713	NM_153266
TMEM151B	transmembrane protein 151B	441151	MGI:2685169	NM_001039704
TMEM154	transmembrane protein 154	201799	MGI:2444725	NM_152680
TMEM155	transmembrane protein 155	132332		NM_152399
TMEM156	transmembrane protein 156	80008	MGI:2685292	NM_024943
TMEM158	transmembrane protein 158 (gene/pseudogene)	25907	MGI:1919559	NM_015444
TMEM159	transmembrane protein 159	57146	MGI:1925752	NM_020422
TMEM160	transmembrane protein 160	54958	MGI:1916344	NM_017854
TMEM161A	transmembrane protein 161A	54929	MGI:2384577	NM_017814
TMEM161B	transmembrane protein 161B	153396	MGI:1919995	NM_153354
TMEM161B-AS1	TMEM161B antisense RNA 1	100505894		NR_039993
TMEM161BP1	transmembrane protein 161B pseudogene 1	646360		NG_022901
TMEM163	transmembrane protein 163	81615	MGI:1919410	NM_030923
TMEM164	transmembrane protein 164	84187	MGI:2148020	NM_032227
TMEM165	transmembrane protein 165	55858	MGI:894407	NM_018475
TMEM167A	transmembrane protein 167A	153339	MGI:1913324	NM_174909
TMEM167AP1	transmembrane protein 167A pseudogene 1	360028		NG_002949
TMEM167B	transmembrane protein 167B	56900	MGI:1914745	NM_020141
TMEM168	transmembrane protein 168	64418	MGI:1921794	NM_022484
TMEM169	transmembrane protein 169	92691	MGI:2442781	NM_138390
TMEM170A	transmembrane protein 170A	124491	MGI:106426	NM_145254
TMEM170B	transmembrane protein 170B	100113407	MGI:3647046	NM_001100829
TMEM171	transmembrane protein 171	134285	MGI:2685751	NM_173490
TMEM173	transmembrane protein 173	340061	MGI:1919762	NM_198282
TMEM174	transmembrane protein 174	134288	MGI:1915594	NM_153217
TMEM175	transmembrane protein 175	84286	MGI:1919642	NM_032326
TMEM176A	transmembrane protein 176A	55365	MGI:1913308	NM_018487
TMEM176B	transmembrane protein 176B	28959	MGI:1916348	NM_014020
TMEM177	transmembrane protein 177	80775	MGI:1913593	NM_030577
TMEM178A	transmembrane protein 178A	130733	MGI:1915277	NM_152390
TMEM178B	transmembrane protein 178B	100507421	MGI:3647581	
TMEM179	transmembrane protein 179	388021	MGI:2144891	NM_207379
TMEM179B	transmembrane protein 179B	374395	MGI:1914956	NM_199337
TMEM181	transmembrane protein 181	57583	MGI:1924356	NM_020823
TMEM182	transmembrane protein 182	130827	MGI:1923725	NM_144632
TMEM183A	transmembrane protein 183A	92703	MGI:1914729	NM_138391
TMEM183AP1	transmembrane protein 183A pseudogene 1			
TMEM183B	transmembrane protein 183B	653659		NM_001079809
TMEM184A	transmembrane protein 184A	202915	MGI:2385897	NM_152689
TMEM184B	transmembrane protein 184B	25829	MGI:2445179	NM_012264
TMEM184C	transmembrane protein 184C	55751	MGI:2384562	NM_018241
TMEM185A	transmembrane protein 185A	84548	MGI:2448555	NM_032508
TMEM185AP1	transmembrane protein 185A pseudogene 1	100506205		
TMEM185B	transmembrane protein 185B	79134	MGI:1917634	NM_024121.2
TMEM186	transmembrane protein 186	25880	MGI:1913940	NM_015421
TMEM187	transmembrane protein 187	8269		NM_003492
TMEM189	transmembrane protein 189	387521	MGI:2142624	NM_199129
TMEM189-UBE2V1	TMEM189-UBE2V1 readthrough	387522		
TMEM190	transmembrane protein 190	147744	MGI:1925302	NM_139172
TMEM191A	transmembrane protein 191A (pseudogene)	84222		
TMEM191B	transmembrane protein 191B	728229		XM_001128423
TMEM191C	transmembrane protein 191C	645426		NM_001207052
TMEM192	transmembrane protein 192	201931	MGI:1920317	NM_152681
TMEM196	transmembrane protein 196	256130	MGI:2685374	NM_152774
TMEM198	transmembrane protein 198	130612	MGI:2443133	NM_001005209
TMEM198B	transmembrane protein 198B (pseudogene)	440104	MGI:1921077	NR_036476
TMEM199	transmembrane protein 199	147007	MGI:2144113	NM_152464
TMEM200A	transmembrane protein 200A	114801	MGI:1924470	NM_052913
TMEM200B	transmembrane protein 200B	399474	MGI:3646343	NM_001003682
TMEM200C	transmembrane protein 200C	645369	MGI:3646281	NM_001080209
TMEM201	transmembrane protein 201	199953	MGI:1196277	NM_001010866
TMEM202	transmembrane protein 202	338949	MGI:1921143	NM_001080462
TMEM202-AS1	TMEM202 antisense RNA 1	105370888		NR_135678
TMEM203	transmembrane protein 203	94107	MGI:2443597	NM_053045
TMEM204	transmembrane protein 204	79652	MGI:3039635	NM_024600
TMEM205	transmembrane protein 205	374882	MGI:3045495	NM_198536
TMEM206	transmembrane protein 206	55248	MGI:1914200	NM_018252
TMEM207	transmembrane protein 207	131920	MGI:2685386	NM_207316
TMEM208	transmembrane protein 208	29100	MGI:1913570	NM_014187
TMEM209	transmembrane protein 209	84928	MGI:1919899	NM_032842
TMEM210	transmembrane protein 210	100505993	MGI:1925467	XM_001715022
TMEM211	transmembrane protein 211	255349	MGI:2685700	NM_001001663
TMEM212	transmembrane protein 212	389177	MGI:2685410	
TMEM212-AS1	TMEM212 antisense RNA 1			
TMEM212-IT1	TMEM212 intronic transcript 1			
TMEM213	transmembrane protein 213	155006	MGI:1924772	NM_001085429
TMEM214	transmembrane protein 214	54867	MGI:1916046	NM_017727
TMEM215	transmembrane protein 215	401498	MGI:2444167	NM_212558
TMEM216	transmembrane protein 216	51259	MGI:1920020	NM_016499
TMEM217	transmembrane protein 217	221468	MGI:3646280	NM_145316
TMEM218	transmembrane protein 218	219854	MGI:1913529	NM_001080546
TMEM219	transmembrane protein 219	124446	MGI:1915992	NM_001083613
TMEM220	transmembrane protein 220	388335	MGI:2443691	NM_001004313
TMEM220-AS1	TMEM220 antisense RNA 1	101101775		
TMEM221	transmembrane protein 221	100130519	MGI:3525074	
TMEM222	transmembrane protein 222	84065	MGI:1098568	NM_032125
TMEM223	transmembrane protein 223	79064		
TMEM225	transmembrane protein 225	338661	MGI:1922917	NM_001013743
TMEM225B	transmembrane protein 225B	100289187		
TMEM229A	transmembrane protein 229A	730130	MGI:2442812	NM_001136002
TMEM229B	transmembrane protein 229B	161145	MGI:2444389	NM_182526
TMEM230	transmembrane protein 230	29058	MGI:1917862	
TMEM231	transmembrane protein 231	79583	MGI:2685024	NM_001077416
TMEM232	transmembrane protein 232	642987	MGI:2685786	NM_001039763
TMEM233	transmembrane protein 233	387890	MGI:3651514	NM_001136534
TMEM234	transmembrane protein 234	56063	MGI:1924049	NM_019118
TMEM235	transmembrane protein 235	283999	MGI:3651706	NM_001204211
TMEM236	transmembrane protein 236	653567	MGI:1919309	
TMEM237	transmembrane protein 237	65062	MGI:2138365	NM_152388
TMEM238	transmembrane protein 238	388564	MGI:1922935	NM_001190764
TMEM238L	transmembrane protein 238 like	100289255	MGI:1918826	NR_036581
TMEM239	transmembrane protein 239	100288797	MGI:1914016	
TMEM240	transmembrane protein 240	339453	MGI:3648074	NM_001114748
TMEM241	transmembrane protein 241	85019	MGI:2442435	NM_032933
TMEM242	transmembrane protein 242	729515	MGI:1917794	
TMEM243	transmembrane protein 243	79161	MGI:3606159	NM_024315
TMEM244	transmembrane protein 244	253582		NM_001010876
TMEM245	transmembrane protein 245	23731	MGI:2445107	NM_032012
TMEM246	transmembrane protein 246	84302	MGI:1914313	NM_032342
TMEM246-AS1	TMEM246 antisense RNA 1	101928470		NR_121573
TMEM247	transmembrane protein 247	388946	MGI:1925719	NM_001145051
TMEM248	transmembrane protein 248	55069	MGI:1918917	NM_017994
TMEM248P1	transmembrane protein 248 pseudogene 1	645841		
TMEM249	transmembrane protein 249	340393	MGI:3647471	NM_001252402
TMEM250	transmembrane protein 250	90120		NM_152833
TMEM251	transmembrane protein 251	26175	MGI:2443862	
TMEM251P1	transmembrane protein 251 pseudogene 1	100420909		
TMEM252	transmembrane protein 252	169693	MGI:3583948	NM_153237
TMEM253	transmembrane protein 253	643382	MGI:3588246	XM_926711
TMEM254	transmembrane protein 254	80195	MGI:1196450, MGI:3710397, MGI:3711260	NM_025125
TMEM254-AS1	TMEM254 antisense RNA 1	219347		
TMEM255A	transmembrane protein 255A	55026	MGI:3045722	NM_017938
TMEM255B	transmembrane protein 255B	348013	MGI:2685533	NM_182614
TMEM256	transmembrane protein 256	254863	MGI:1916436	NM_152766
TMEM256-PLSCR3	TMEM256-PLSCR3 readthrough (NMD candidate)	100529211		
TMEM256P1	transmembrane protein 256 pseudogene 1	645269		NG_028106
TMEM256P2	transmembrane protein 256 pseudogene 2			
TMEM257~withdrawn	symbol withdrawn, see SLITRK2			
TMEM258	transmembrane protein 258	746	MGI:1916288	NM_014206
TMEM259	transmembrane protein 259	91304	MGI:2177957	NM_033420
TMEM260	transmembrane protein 260	54916	MGI:2443219	NM_017799
TMEM261P1	transmembrane protein 261 pseudogene 1	100289059		
TMEM262	transmembrane protein 262	100130348	MGI:3690536	NM_001282448
TMEM263	transmembrane protein 263	90488	MGI:2143652	NM_152261
TMEM265	transmembrane protein 265	100862671	MGI:5613213	
TMEM266	transmembrane protein 266	123591	MGI:2142980	NM_152335
TMEM267	transmembrane protein 267	64417		NM_022483
TMEM268	transmembrane protein 268	203197	MGI:1913920	NM_153045
TMEM269	transmembrane protein 269	100129924	MGI:1922430	NM_001242750
TMEM270	transmembrane protein 270	135886	MGI:1923879	NM_182504
TMEM271	transmembrane protein 271			
TMEM272	transmembrane protein 272	283521		NM_001351005
TMF1	TATA element modulatory factor 1	7110	MGI:2684999	NM_007114
TMF1P1	TATA element modulatory factor 1 pseudogene 1	106480320		
TMIE	transmembrane inner ear	259236	MGI:2159400	NM_147196
TMIGD1	transmembrane and immunoglobulin domain containing 1	388364	MGI:1913851	NM_206832
TMIGD2	transmembrane and immunoglobulin domain containing 2	126259		NM_144615
TMIGD3	transmembrane and immunoglobulin domain containing 3	57413	MGI:5604098	NM_001081976
TMLHE	trimethyllysine hydroxylase, epsilon	55217	MGI:2180203	NM_018196
TMLHE-AS1	TMLHE antisense RNA 1	100507404		NR_039991
TMOD1	tropomodulin 1	7111	MGI:98775	NM_003275
TMOD2	tropomodulin 2	29767	MGI:1355335	
TMOD3	tropomodulin 3	29766	MGI:1355315	
TMOD4	tropomodulin 4	29765	MGI:1355285	
TMPO	thymopoietin	7112	MGI:106920	NM_003276
TMPO-AS1	TMPO antisense RNA 1	100128191		NR_027157
TMPOP1	thymopoietin pseudogene 1	100129772		NG_027533
TMPOP2	thymopoietin pseudogene 2	100533619		NG_028880
TMPPE	transmembrane protein with metallophosphoesterase domain	643853	MGI:5317335	NM_001039770
TMPRSS2	transmembrane protease, serine 2		MGI:1354381	
TMPRSS3	transmembrane protease, serine 3	64699	MGI:2155445	
TMPRSS4	transmembrane protease, serine 4	56649	MGI:2384877	NM_019894
TMPRSS5	transmembrane protease, serine 5	80975	MGI:1933407	NM_030770
TMPRSS6	transmembrane protease, serine 6	164656	MGI:1919003	NM_153609
TMPRSS7	transmembrane protease, serine 7	344805	MGI:2686594	XM_293599
TMPRSS9	transmembrane protease, serine 9	360200	MGI:3612246	NM_182973
TMPRSS11A	transmembrane protease, serine 11A	339967	MGI:2684853	NM_182606
TMPRSS11B	transmembrane protease, serine 11B	132724	MGI:2442893	NM_182502
TMPRSS11BNL	TMPRSS11B N-terminal like, pseudogene	401136		NM_001129907
TMPRSS11CP	transmembrane protease, serine 11C, pseudogene		MGI:3521861	
TMPRSS11D	transmembrane protease, serine 11D	9407	MGI:2385221	NM_004262
TMPRSS11E	transmembrane protease, serine 11E	28983	MGI:3513175	NM_014058
TMPRSS11E2~withdrawn	symbol withdrawn, see TMPRSS11E			
TMPRSS11F	transmembrane protease, serine 11F	389208	MGI:2442348	NM_207407
TMPRSS11GP	transmembrane protease, serine 11G, pseudogene	644759	MGI:2444058	
TMPRSS12	transmembrane protease, serine 12	283471	MGI:1922252	NM_182559
TMPRSS13	transmembrane protease, serine 13	84000	MGI:2682935	NM_032046
TMPRSS15	transmembrane protease, serine 15	5651	MGI:1197523	NM_002772
TMSB4~withdrawn	symbol withdrawn, see TMSB4X			
TMSB4L~withdrawn	symbol withdrawn, see TMSB4XP6			
TMSB4X	thymosin beta 4, X-linked	7114	MGI:99510	NM_021109
TMSB4XP1	thymosin beta 4, X-linked pseudogene 1	7115		NG_004714
TMSB4XP2	thymosin beta 4, X-linked pseudogene 2	7116		NG_004719
TMSB4XP3	thymosin beta 4, X-linked pseudogene 3			
TMSB4XP4	thymosin beta 4, X-linked pseudogene 4	7118		NG_004715
TMSB4XP5	thymosin beta 4, X-linked pseudogene 5	7119		NG_002996
TMSB4XP6	thymosin beta 4, X-linked pseudogene 6	7120		NG_006508
TMSB4XP7	thymosin beta 4, X-linked pseudogene 7	7121		NG_002997
TMSB4XP8	thymosin beta 4, X-linked pseudogene 8	7117		NG_028923
TMSB4Y	thymosin beta 4, Y-linked	9087		NM_004202
TMSB10	thymosin beta 10	9168	MGI:109146	NM_021103
TMSB10P1	thymosin beta 10 pseudogene 1	100506723		
TMSB10P2	thymosin beta 10 pseudogene 2			
TMSB15A	thymosin beta 15a	11013	MGI:1925728	NM_021992
TMSB15B	thymosin beta 15B	286527	MGI:3843059, MGI:3843061	NM_194324
TMTC1	transmembrane and tetratricopeptide repeat containing 1	83857	MGI:3039590	NM_031920
TMTC2	transmembrane and tetratricopeptide repeat containing 2	160335	MGI:1914057	NM_152588
TMTC3	transmembrane and tetratricopeptide repeat containing 3	160418	MGI:3036255	NM_181783
TMTC4	transmembrane and tetratricopeptide repeat containing 4	84899	MGI:1921050	NM_032813
TMUB1	transmembrane and ubiquitin like domain containing 1	83590	MGI:1923764	NM_031434
TMUB2	transmembrane and ubiquitin like domain containing 2	79089	MGI:1919303	NM_177441
TMVCF~withdrawn	symbol withdrawn, see CLDN5			
TMX1	thioredoxin related transmembrane protein 1	81542	MGI:1919986	NM_030755
TMX2	thioredoxin related transmembrane protein 2	51075	MGI:1914208	NM_015959
TMX2-CTNND1	TMX2-CTNND1 readthrough (NMD candidate)	100528016		NR_037646.1
TMX2P1	thioredoxin related transmembrane protein 2 pseudogene 1	100233198		NG_009211
TMX3	thioredoxin related transmembrane protein 3	54495	MGI:2442418	NM_019022
TMX4	thioredoxin related transmembrane protein 4	56255	MGI:106558	NM_021156
TNC	tenascin C	3371	MGI:101922	NM_002160
TNF	tumor necrosis factor	7124	MGI:104798	
TNFA~withdrawn	symbol withdrawn, see TNF			
TNFAIP1	TNF alpha induced protein 1	7126	MGI:104961	NM_021137
TNFAIP2	TNF alpha induced protein 2	7127	MGI:104960	NM_006291
TNFAIP3	TNF alpha induced protein 3	7128	MGI:1196377	
